,Testcase,Edge Applications used,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Avg. maximum unattested time,Avg. time spent attesting,Avg. worst case response time,Avg. avg response time,Avg. edge app latency,Tstart,alpha,Prmv,k,a,b,w
0,topo_size4,,True,True,CP_ROUTING_CP_SCHEDULING,16,14,3,5,12,26154,9,26145,26145,,0.0005691056910569107,3.457625,4287,0,4380,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size0,,True,True,CP_ROUTING_CP_SCHEDULING,16,6,3,5,12,26168,10,26158,26158,,0.001531914893617021,3.457625,991,0,1030,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size6,,True,True,CP_ROUTING_CP_SCHEDULING,16,18,3,5,12,26181,13,26168,26168,,0.0005135135135135136,3.457625,6150,0,6231,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size1,,True,True,CP_ROUTING_CP_SCHEDULING,16,8,3,5,12,26166,10,26156,26156,,0.0012000000000000001,3.457625,1034,0,1118,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size2,,True,True,CP_ROUTING_CP_SCHEDULING,16,10,3,5,12,26176,10,26166,26166,,0.001038961038961039,3.457625,1206,0,1294,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,3,5,12,26180,12,26168,26168,,0.0005526315789473686,3.457625,10533,0,10627,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size8,,True,True,CP_ROUTING_CP_SCHEDULING,16,22,3,5,12,26160,11,26149,26149,,0.00028136882129277564,3.457625,14419,0,14518,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size3,,True,True,CP_ROUTING_CP_SCHEDULING,16,12,3,5,12,26169,12,26157,26157,,0.0008571428571428574,3.457625,3695,0,3788,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size7,,True,True,CP_ROUTING_CP_SCHEDULING,16,20,3,5,12,26166,10,26156,26156,,0.0003243243243243243,3.457625,12488,0,12570,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size5,,True,True,CP_ROUTING_CP_SCHEDULING,16,16,3,5,12,26182,12,26170,26170,,0.0005526315789473684,3.457625,7085,0,7180,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size4,,True,True,CP_ROUTING_CP_SCHEDULING,16,14,3,5,12,26154,9,26145,26145,,0.0005691056910569107,3.457625,9570,0,9659,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size6,,True,True,CP_ROUTING_CP_SCHEDULING,16,18,3,5,12,26181,13,26168,26168,,0.0005135135135135136,3.457625,8986,0,9077,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size8,,True,True,CP_ROUTING_CP_SCHEDULING,16,22,3,5,12,26158,11,26147,26147,,0.0002813688212927757,3.457625,16903,0,16987,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size7,,True,True,CP_ROUTING_CP_SCHEDULING,16,20,3,5,12,26166,10,26156,26156,,0.0003243243243243243,3.457625,9831,0,9909,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size9,,True,True,CP_ROUTING_CP_SCHEDULING,16,24,3,5,12,26169,11,26158,26158,,0.00024025974025974035,3.457625,32735,0,32846,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size9,,True,True,CP_ROUTING_CP_SCHEDULING,16,24,3,5,12,26169,11,26158,26158,,0.00024025974025974032,3.457625,34019,0,34096,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size8,,True,True,CP_ROUTING_CP_SCHEDULING,16,22,3,5,12,26158,11,26147,26147,,0.0002813688212927757,3.457625,37907,0,37980,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
0,topo_size9,,True,True,CP_ROUTING_CP_SCHEDULING,16,24,3,5,12,26169,11,26158,26158,,0.00024025974025974032,3.457625,82841,0,82934,0/6,0,0,-1.00,-1.00,-1.00,-1.00,-1.00,10,0.999,0.8,5,50000,10000,10
