,Testcase,Security,Redundancy,Method,# ES,# Switches,# Streams,# Receiver Tasks,# Tasks,Total cost,Routing cost,Scheduling cost,Normal application latency,Infeasible Apps,"Bandwidth use (Mean,%)","CPU use (Mean,%)",Optimization Time (ms),First feasible solution time (ms),Total Runtime (ms),Infeasible apps,Overlapping number,Stream with overlap,Tstart,alpha,Prmv,k,a,b
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19491,92,19399,19273,,0.021018490566037735,4.690208333333333,580397,0,580424,0/12,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19457,80,19377,19251,,0.016642893081761007,4.690208333333333,580182,0,580213,0/12,0,0,1,0.99,0.1,10,50000,10000,1000
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19460,77,19383,19257,,0.01657044025157233,4.690208333333333,580239,0,580265,0/12,0,0,1,0.99,0.1,10,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19737,77,19660,19534,,0.016570440251572324,4.690208333333333,580189,0,580217,0/12,0,0,1,0.99,0.1,10,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19473,77,19396,19271,,0.016570440251572335,4.690208333333333,580370,0,580396,0/12,0,0,1,0.99,0.1,10,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19476,77,19399,19273,,0.016750062893081764,4.690208333333333,580287,0,580319,0/12,0,0,1,0.99,0.1,10,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19476,77,19399,19273,,0.016570440251572324,4.690208333333333,580129,0,580162,0/12,0,0,1,0.99,0.1,10,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19479,80,19399,19273,,0.016642893081761003,4.690208333333333,580482,0,580509,0/12,0,0,10000,0.999999,0.1,5,50000,10000,5
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19737,77,19660,19534,,0.01657044025157233,4.690208333333333,580155,0,580181,0/12,0,0,1,0.99,0.1,10,50000,10000,10
0,medium2,True,True,SA_ROUTING_SA_SCHEDULING_COMB,16,8,30,47,43,19455,77,19378,19253,,0.016570440251572324,4.690208333333333,580313,0,580342,0/12,0,0,1,0.99,0.1,10,50000,10000,10
